68.754280, 52.155033, 6.611993
17.842243, 22.414638, 3.219939
15.177564, 47.815781, 7.797032
44.170103, 18.871622, 5.169739
38.459688, 50.933287, 6.557478
31.857499, 7.019316, 5.801907
61.641071, 22.554523, 1.378987
85.679827, 13.487995, 0.912709
61.548851, 27.642883, 9.311559
78.869926, 53.381128, 5.504955
20.218740, 12.938822, 4.912712
8.521661, 10.749936, 5.931441
37.984046, 5.566150, 1.823874
26.658565, 25.816769, 8.993560
33.718416, 28.776922, 3.858660
57.923346, 35.567535, 5.538186
35.236473, 9.894524, 4.393347
35.377492, 17.907085, 4.308406
20.411812, 44.450769, 6.500169
61.337131, 24.024058, 5.519460
67.260807, 29.234238, 0.199005
32.436631, 19.057247, 3.966226
44.324293, 50.994644, 5.288948
52.048828, 24.735874, 3.915811
20.014637, 10.952219, 5.991351
